res
"177077187,45"
"92213494,5"
"19675193,30"
"26913737,36"
"22092216,35"
"34981018,22"
"153276766,50"
"75508181,59"
"138836851,10"
"42914991,45"
"186376299,30"
"212531935,14"
"125245410,2"
"212949398,36"
"59501095,55"
"212314571,49"
"9935320,22"
"175895524,25"
"183492680,7"
"33839203,42"
"185655408,35"
"212217908,52"
"213195799,20"
"174127611,12"
"155395414,42"
"96520217,25"
"212432605,40"
"212885279,28"
"112135618,55"
"19366093,56"
"26712849,46"
"102449149,36"
"22843165,55"
"191634720,10"
"59939227,53"
"12067810,22"
"212873107,55"
"213095778,15"
"33044798,15"
"129909698,45"
"11001813,41"
"136031018,50"
"212996126,36"
"200235585,6"
"132374599,31"
"213579716,52"
"108787802,46"
"159351036,55"
"51700866,10"
"214223040,45"
"95338228,5"
"212919412,50"
"213096440,35"
"18764895,36"
"14949554,35"
"65652183,3"
"214745766,35"
"214334666,51"
"57108516,55"
"84202151,37"
"148385571,5"
"213172737,5"
"213141573,5"
"11110512,9"
"202837649,40"
"45508732,45"
"67991939,46"
"15501532,35"
"209861564,35"
"23585301,40"
"94511511,35"
"208642451,50"
"4636055,20"
"209587100,37"
"213050150,35"
"3801053,30"
"90400724,9"
"55643805,11"
"22643673,32"
"167819130,41"
"53811841,45"
"24568594,32"
"57790075,35"
"149842383,30"
"212568303,16"
"213421528,2"
"72855597,36"
"142106663,10"
"206467808,5"
"11846376,52"
"120682169,52"
"47799588,45"
"144858104,44"
"173140497,25"
"212584794,53"
"3168760,5"
"54870110,49"
"191646115,50"
"211534106,55"
"211831503,23"
"101667251,39"
"214537300,22"
"212715044,5"
"188792797,21"
"144264983,30"
"56699062,35"
"85285165,46"
"213335507,57"
"3762290,30"
"14525949,49"
"17424052,38"
"213043411,37"
"214748347,45"
"10048865,5"
"36030456,30"
"36451500,35"
"23195382,22"
"212987027,13"
"213946539,35"
"72078422,35"
"77408672,40"
"34552531,52"
"44398624,50"
"49995968,17"
"140364552,57"
"147087096,10"
"45180779,5"
"20162284,30"
"10099956,30"
"198537735,14"
"5942918,50"
"77132928,31"
"184328417,30"
"38422582,10"
"63279340,39"
"128146881,45"
"77442326,39"
"25738918,20"
"9760147,45"
"65580185,55"
"138959238,36"
"153101799,37"
"5500824,40"
"2873431,4"
"5189700,30"
"3741704,40"
"16447062,10"
"11764392,36"
"39202805,45"
"26570792,52"
"30307276,52"
"90285256,11"
"208465615,20"
"71171939,23"
"182027589,5"
"214550644,55"
"179079660,38"
"182384418,20"
"156293448,35"
"44522650,8"
"201674434,51"
"76571283,40"
"85427797,57"
"38379085,52"
"52255466,51"
"213857238,57"
"70153987,41"
"212926898,30"
"212564657,15"
"213926214,45"
"19414824,3"
"64673718,35"
"213058259,50"
"213408784,55"
"205324789,36"
"212453170,51"
"149813610,40"
"9337340,11"
"13014632,17"
"22999019,37"
"31430318,30"
"189766736,54"
"156713991,33"
"87045169,1"
"116701282,47"
"192628669,16"
"115324104,40"
"128236114,28"
"212949794,50"
"203208608,20"
"213638208,35"
"12570398,22"
"212931499,56"
"213057344,20"
"4802877,55"
"172822660,29"
"130328281,41"
"77409658,20"
"144772343,5"
"212927199,35"
"213356321,5"
"27246385,57"
"33733164,15"
"110235692,40"
"213116016,10"
"212888733,2"
"212686225,12"
"205871036,45"
"2855985,56"
"213397384,47"
"210769209,37"
"5035903,47"
"116606540,40"
"164744345,21"
"68246842,53"
"207904232,35"
"213904293,40"
"212552388,20"
"134198437,45"
"207463746,11"
"212651273,3"
"156248530,50"
"31833227,45"
"187143686,47"
"22897223,45"
"23625262,11"
"212666629,56"
"211587563,20"
"66503858,25"
"191519547,20"
"11304558,56"
"111065718,40"
"116521206,21"
"136000125,50"
"213316044,50"
"60206408,25"
"211957323,40"
"149141567,40"
"200902388,45"
"16260862,30"
"213163061,57"
"19443143,55"
"101121564,10"
"41911400,15"
"167834104,26"
"16030534,55"
"212491734,55"
"26974440,52"
"194659785,45"
"212559274,55"
"68682224,44"
"51298943,40"
"38962864,36"
"3323171,54"
"212929260,45"
"213413058,48"
"179803080,46"
"43484419,41"
"39066036,20"
"197720904,44"
"184567622,15"
"154085221,20"
"212564419,40"
"213164488,45"
"5759949,57"
"51116138,25"
"28710292,35"
"100242582,25"
"109283133,15"
"212930011,51"
"153355547,35"
"8940506,52"
"22357019,41"
"13352788,5"
"69441181,25"
"179781440,25"
"33960133,50"
"204287426,35"
"50019146,24"
"44756025,45"
"62099565,31"
"213323815,59"
"48416537,50"
"8709609,46"
"41851358,49"
"200803608,57"
"213176842,5"
"23195934,36"
"47393000,19"
"118219325,10"
"22618826,57"
"63970655,17"
"45143898,15"
"13280495,37"
"108935380,50"
"14525643,55"
"114833823,47"
"201486808,57"
"213155792,35"
"206198949,35"
"213032173,44"
"11379727,49"
"60668801,47"
"26668098,45"
"208641412,55"
"20468882,51"
"35582654,46"
"183302811,7"
"179395963,54"
"53184492,20"
"61044063,20"
"88397427,7"
"213176333,7"
"212910566,20"
"187022985,31"
"173417461,35"
"176603153,31"
"152629636,51"
"194501736,46"
"85660235,35"
"100415421,51"
"131095653,35"
"212529820,38"
"98084955,30"
"182414111,57"
"2369131,29"
"147886327,19"
"39256616,56"
"17260764,30"
"62042694,45"
"27755591,38"
"214352621,45"
"34035993,30"
"213209356,37"
"213188353,15"
"208322823,35"
"180882328,35"
"164929852,55"
"212270732,45"
"10451771,43"
"42818509,55"
"4319547,38"
"17341139,15"
"23527490,37"
"2032780,5"
"55259745,59"
"42456920,35"
"102527930,36"
"48863066,10"
"213542779,36"
"212469298,40"
"34451992,12"
"202995763,55"
"85432563,55"
"213050256,10"
"25819011,26"
"212670886,55"
"213621387,35"
"212885122,12"
"188451896,15"
"21090473,28"
"106921303,16"
"54903673,51"
"176455834,15"
"207568970,41"
"213024312,38"
"208882977,20"
"19061895,34"
"24270039,35"
"97470303,9"
"213258586,55"
"9722282,59"
"213459638,35"
"14869170,24"
"54516820,30"
"212448924,57"
"14250490,35"
"169669976,40"
"212919537,19"
"213508034,59"
"30915938,37"
"214173684,13"
"89388915,55"
"53717643,56"
"1879765,35"
"212686077,21"
"14995136,55"
"150593372,58"
"10903599,16"
"10121888,45"
"109016440,20"
"69063114,55"
"53767718,45"
"51593079,6"
"146605680,20"
"199696276,45"
"212701605,26"
"214358615,56"
"51723523,50"
"45516022,57"
"213623537,35"
"61104959,36"
"13486283,5"
"212892796,11"
"88657988,30"
"61073872,32"
"213388326,24"
"9248764,4"
"71027440,58"
"101055559,25"
"145644104,46"
"43756983,47"
"60013819,40"
"130378183,35"
"5058659,35"
"213071540,5"
"195795852,47"
"18807143,22"
"69594110,59"
"194593270,36"
"189636538,11"
"148622583,13"
"21204762,42"
"5501536,51"
"40206234,45"
"83039282,5"
"24125275,36"
"10808704,55"
"56822908,55"
"155968350,45"
"31308089,35"
"40119452,40"
"61854305,35"
"213328442,55"
"33425776,35"
"154403095,46"
"43583868,36"
"24421146,28"
"98830112,26"
"162821878,35"
"90009732,57"
"68088798,55"
"207845311,21"
"213804539,35"
"38017697,16"
"76379474,45"
"205433951,50"
"21016563,18"
"40335899,15"
"214726120,37"
"213038831,32"
"184937088,55"
"11304884,36"
"212564869,55"
"2836425,7"
"38129114,55"
"14548145,55"
"180441767,20"
"207075141,45"
"164519208,28"
"40025912,10"
"196443596,46"
"212970238,13"
"134140989,51"
"141032588,45"
"12673517,45"
"109458823,5"
"213191144,41"
"148205383,5"
"20864712,43"
"192759628,50"
"171288803,35"
"212565624,34"
"28887128,45"
"3772821,25"
"99292510,35"
"155188741,55"
"5758654,40"
"19142601,35"
"6512848,30"
"182577231,55"
"31347005,11"
"72131114,45"
"180062648,55"
"88319765,6"
"30103409,36"
"36941392,36"
"14501080,50"
"4677490,57"
"127024582,30"
"28253413,46"
"119504985,45"
"174973747,46"
"20147447,10"
"53426716,47"
"12812039,10"
"37216518,18"
"130362786,35"
"69476326,30"
"16257874,1"
"147254389,6"
"24333977,45"
"15563065,53"
"213748291,5"
"61251226,55"
"212574529,21"
"5271459,15"
"38167100,40"
"70265063,5"
"43197592,30"
"20736506,45"
"204709911,25"
"199479729,48"
"58179587,35"
"125206134,50"
"1706245,55"
"79665471,34"
"213164929,5"
"39888052,9"
"1445049,11"
"161388294,11"
"212523568,52"
"2439819,57"
"29856619,40"
"214534060,20"
"6304725,7"
"26400427,45"
"133431548,44"
"147589462,55"
"204043747,56"
"214721797,45"
"212542524,16"
"44155467,24"
"46019401,41"
"134377177,46"
"26335204,58"
"2337342,25"
"53429445,10"
"56143901,46"
"36152734,20"
"214007790,32"
"166416363,15"
"191273596,45"
"56581486,55"
"31703094,5"
